cruise_line,cruise_ship,date,score
"Crystal Cruises , Inc.",Crystal Symphony,1/7/1998,97
Princess Cruises,Dawn Princess,1/23/1998,93
Royal Caribbean International,Monarch Of The Seas,1/25/1998,95
P&O Cruises,Oriana,1/28/1998,98
"Carnival Cruise Lines, Inc.",Carnival Fantasy,2/5/1998,93
"Carnival Cruise Lines, Inc.",Carnival Fascination,2/15/1998,98
Royal Caribbean International,Enchantment Of The Seas,2/12/1998,87
Royal Caribbean International,Majesty Of The Seas,2/15/1998,96
Royal Caribbean International,Rhapsody Of The Seas,2/13/1998,99
Holland America Line,Ryndam,2/12/1998,97
Holland America Line,Statendam,2/11/1998,91
Princess Cruises,Sun Princess,2/21/1998,99
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,3/27/1998,95
Seabourn Cruise Line,Seabourn Legend,3/31/1998,95
Seabourn Cruise Line,Seabourn Pride,4/21/1998,86
Holland America Line,Veendam,4/19/1998,97
"Carnival Cruise Lines, Inc.",Carnival Elation,5/3/1998,90
Celebrity Cruises,Celebrity Century,5/9/1998,95
Holland America Line,Maasdam,5/21/1998,95
V. Ships Leisure U.S.A.,MV Yorktown,5/24/1998,91
Lindblad Expeditions,Sea Bird,5/13/1998,92
Lindblad Expeditions,Sea Lion,5/15/1998,97
"Carnival Cruise Lines, Inc.",Carnival Fascination,6/27/1998,93
"Carnival Cruise Lines, Inc.",Carnival Sensation,6/13/1998,92
"Carnival Cruise Lines, Inc.",Carnival Sunshine,6/14/1998,87
Princess Cruises,Dawn Princess,6/16/1998,86
Royal Caribbean International,Grandeur Of The Seas,6/23/1998,94
Royal Caribbean International,Legend Of The Seas,6/17/1998,99
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,7/20/1998,93
"Carnival Cruise Lines, Inc.",Carnival Imagination,7/18/1998,87
Blount Small Ship Adventures,Grande Caribe,7/13/1998,61
Blount Small Ship Adventures,Grande Mariner,7/15/1998,87
Royal Caribbean International,Monarch Of The Seas,7/19/1998,96
