cruise_line,cruise_ship,date,score
"Carnival Cruise Lines, Inc.",Carnival Fascination,7/11/2008,97
"Carnival Cruise Lines, Inc.",Carnival Glory,7/8/2008,100
"Carnival Cruise Lines, Inc.",Carnival Miracle,7/7/2008,100
"Carnival Cruise Lines, Inc.",Carnival Spirit,7/26/2008,98
Celebrity Cruises,Celebrity Millennium,7/28/2008,91
International Shipping Partners (ISP),MV Ocean Pearl,7/14/2008,84
Norwegian Cruise Lines,Norwegian Spirit,7/22/2008,98
Holland America Line,Ryndam,7/26/2008,96
Lindblad Expeditions,Sea Lion,7/19/2008,98
Regent Seven Seas,Seven Seas Mariner,7/27/2008,94
Silversea Cruises Ltd,Silver Shadow,7/18/2008,99
Holland America Line,Volendam,7/24/2008,95
"Carnival Cruise Lines, Inc.",Carnival Paradise,8/11/2008,97
"Carnival Cruise Lines, Inc.",Carnival Pride,8/17/2008,98
"Carnival Cruise Lines, Inc.",Carnival Sensation,8/31/2008,97
Celebrity Cruises,Celebrity Infinity,8/15/2008,97
Royal Caribbean International,Freedom Of The Seas,8/24/2008,100
Royal Caribbean International,Liberty of the Seas,8/23/2008,100
Royal Caribbean International,Mariner Of The Seas,8/3/2008,99
V. Ships Leisure U.S.A.,MV Explorer,8/22/2008,100
Norwegian Cruise Lines,Norwegian Sky,8/4/2008,93
Norwegian Cruise Lines,Norwegian Star,8/21/2008,98
Cunard Line,Queen Mary 2,8/7/2008,100
Princess Cruises,Sun Princess,8/10/2008,94
Aida Cruises,AIDAaura,9/17/2008,99
P&O Cruises,Aurora,9/11/2008,100
"Carnival Cruise Lines, Inc.",Carnival Victory,9/27/2008,89
Celebrity Cruises,Celebrity Constellation,9/23/2008,97
"Crystal Cruises , Inc.",Crystal Symphony,9/18/2008,98
Disney Cruise Lines,Disney Magic,9/1/2008,98
Norwegian Cruise Lines,Norwegian Dawn,9/19/2008,98
Norwegian Cruise Lines,Norwegian Jewel,9/28/2008,99
Royal Caribbean International,Rhapsody Of The Seas,9/5/2008,98
Princess Cruises,Sapphire Princess,9/9/2008,99
Lindblad Expeditions,Sea Bird,9/11/2008,99
Princess Cruises,Sea Princess,9/30/2008,96
Holland America Line,Statendam,9/8/2008,90
Holland America Line,Veendam,9/7/2008,94
Holland America Line,Zaandam,9/11/2008,99
"Carnival Cruise Lines, Inc.",Carnival Elation,10/23/2008,99
"Carnival Cruise Lines, Inc.",Carnival Fantasy,10/13/2008,94
"Carnival Cruise Lines, Inc.",Carnival Imagination,10/17/2008,98
"Carnival Cruise Lines, Inc.",Carnival Legend,10/12/2008,97
"Carnival Cruise Lines, Inc.",Carnival Sunshine,10/16/2008,94
"Carnival Cruise Lines, Inc.",Carnival Triumph,10/5/2008,95
"Carnival Cruise Lines, Inc.",Carnival Valor,10/19/2008,99
Princess Cruises,Crown Princess,10/30/2008,95
Royal Caribbean International,Enchantment Of The Seas,10/18/2008,96
Holland America Line,Eurodam,10/29/2008,95
Blount Small Ship Adventures,Grande Caribe,10/21/2008,93
Blount Small Ship Adventures,Grande Mariner,10/8/2008,95
Princess Cruises,Island Princess,10/27/2008,98
Royal Caribbean International,Jewel Of The Seas,10/31/2008,98
Holland America Line,Maasdam,10/28/2008,92
Lindblad Expeditions,National Geographic Explorer,10/15/2008,92
Norwegian Cruise Lines,Norwegian Sun,10/24/2008,100
Holland America Line,Oosterdam,10/25/2008,100
Royal Caribbean International,Vision Of The Seas,10/26/2008,97
Holland America Line,Westerdam,10/26/2008,98
Fred Olsen Cruise Line,Braemar,11/13/2008,97
Princess Cruises,Caribbean Princess,11/2/2008,100
"Carnival Cruise Lines, Inc.",Carnival Conquest,11/16/2008,99
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,11/15/2008,99
"Carnival Cruise Lines, Inc.",Carnival Freedom,11/30/2008,99
"Carnival Cruise Lines, Inc.",Carnival Inspiration,11/8/2008,97
"Carnival Cruise Lines, Inc.",Carnival Liberty,11/15/2008,99
Princess Cruises,Coral Princess,11/19/2008,98
Disney Cruise Lines,Disney Wonder,11/13/2008,99
Princess Cruises,Emerald Princess,11/20/2008,98
Royal Caribbean International,Explorer Of The Seas,11/1/2008,98
Royal Caribbean International,Grandeur Of The Seas,11/10/2008,99
Royal Caribbean International,Majesty Of The Seas,11/17/2008,99
Royal Caribbean International,Navigator Of The Seas,11/22/2008,98
Holland America Line,Noordam,11/24/2008,98
Norwegian Cruise Lines,Norwegian Gem,11/29/2008,98
P&O Cruises,Oriana,11/10/2008,99
Royal Caribbean International,Radiance Of The Seas,11/9/2008,97
Holland America Line,Rotterdam,11/20/2008,95
Royal Caribbean International,Serenade Of The Seas,11/23/2008,98
Princess Cruises,Star Princess,11/20/2008,99
ResidenSea,The World,11/12/2008,100
Holland America Line,Zuiderdam,11/19/2008,94
Azamara Cruises,Azamara Journey,12/18/2008,98
"Carnival Cruise Lines, Inc.",Carnival Splendor,12/6/2008,100
Celebrity Cruises,Celebrity Century,12/20/2008,92
Celebrity Cruises,Celebrity Infinity,12/3/2008,85
Celebrity Cruises,Celebrity Summit,12/20/2008,97
Club Med Marine,Club Med 2,12/16/2008,94
"Crystal Cruises , Inc.",Crystal Serenity,12/1/2008,97
Princess Cruises,Golden Princess,12/24/2008,86
Princess Cruises,Grand Princess,12/29/2008,98
Royal Caribbean International,Independence of the Seas,12/7/2008,100
Royal Caribbean International,Monarch Of The Seas,12/19/2008,95
V. Ships Leisure U.S.A.,MV Explorer,12/14/2008,100
Norwegian Cruise Lines,Norwegian Pearl,12/7/2008,100
Holland America Line,Prinsendam,12/19/2008,95
Oceania Cruises,Regatta,12/21/2008,100
Princess Cruises,Ruby Princess,12/6/2008,100
Seabourn Cruise Line,Seabourn Legend,12/22/2008,99
Seabourn Cruise Line,Seabourn Pride,12/20/2008,89
Sea Dream Yacht Club,Seadream I,12/21/2008,98
Sea Dream Yacht Club,Seadream II,12/19/2008,94
Regent Seven Seas,Seven Seas Navigator,12/29/2008,97
Regent Seven Seas,Seven Seas Voyager,12/18/2008,92
Royal Caribbean International,Adventure Of The Seas,1/4/2009,100
Phoenix Reissen Cruise Line,Artania,1/3/2009,93
"Carnival Cruise Lines, Inc.",Carnival Fascination,1/19/2009,98
"Carnival Cruise Lines, Inc.",Carnival Glory,1/17/2009,100
"Carnival Cruise Lines, Inc.",Carnival Miracle,1/24/2009,100
"Carnival Cruise Lines, Inc.",Carnival Spirit,1/7/2009,98
Celebrity Cruises,Celebrity Solstice,1/4/2009,98
Costa Crociere S.P.A.,Costa Fortuna,1/18/2009,97
MSC Cruises (Mediterranean Shipping Company),MSC Lirica,1/6/2009,100
Norwegian Cruise Lines,Norwegian Spirit,1/11/2009,96
Cunard Line,Queen Victoria,1/10/2009,97
Holland America Line,Ryndam,1/9/2009,95
Silversea Cruises Ltd,Silver Shadow,1/3/2009,94
"Carnival Cruise Lines, Inc.",Carnival Paradise,2/23/2009,96
"Carnival Cruise Lines, Inc.",Carnival Pride,2/22/2009,98
"Carnival Cruise Lines, Inc.",Carnival Sensation,2/26/2009,98
"Carnival Cruise Lines, Inc.",Carnival Victory,2/15/2009,95
Celebrity Cruises,Celebrity Constellation,2/23/2009,94
Disney Cruise Lines,Disney Magic,2/18/2009,98
Royal Caribbean International,Freedom Of The Seas,2/1/2009,99
Royal Caribbean International,Liberty of the Seas,2/16/2009,95
Royal Caribbean International,Mariner Of The Seas,2/19/2009,93
MSC Cruises (Mediterranean Shipping Company),MSC Orchestra,2/28/2009,95
Norwegian Cruise Lines,Norwegian Sky,2/6/2009,98
Norwegian Cruise Lines,Norwegian Star,2/21/2009,98
P&O Cruises,Oriana,2/1/2009,94
Princess Cruises,Pacific Princess,2/27/2009,99
Holland America Line,Veendam,2/8/2009,98
P&O Cruises,Aurora,3/24/2009,100
Azamara Cruises,Azamara Journey,3/16/2009,98
Fred Olsen Cruise Line,Braemar,3/5/2009,95
"Carnival Cruise Lines, Inc.",Carnival Imagination,3/6/2009,94
"Carnival Cruise Lines, Inc.",Carnival Legend,3/8/2009,97
"Carnival Cruise Lines, Inc.",Carnival Liberty,3/21/2009,94
"Carnival Cruise Lines, Inc.",Carnival Valor,3/22/2009,94
Celebrity Cruises,Celebrity Infinity,3/29/2009,95
"Crystal Cruises , Inc.",Crystal Symphony,3/9/2009,98
Royal Caribbean International,Independence of the Seas,3/1/2009,96
Royal Caribbean International,Jewel Of The Seas,3/2/2009,98
Holland America Line,Noordam,3/4/2009,99
Norwegian Cruise Lines,Norwegian Dawn,3/7/2009,100
Norwegian Cruise Lines,Norwegian Jewel,3/6/2009,100
Holland America Line,Oosterdam,3/14/2009,99
Oceania Cruises,Regatta,3/9/2009,100
Princess Cruises,Sapphire Princess,3/21/2009,100
Rederij Clipper Stad Amsterdam,Stad Amsterdam,3/25/2009,91
Royal Caribbean International,Voyager Of The Seas,3/15/2009,99
Holland America Line,Zaandam,3/22/2009,99
Fred Olsen Cruise Line,Balmoral,4/29/2009,99
Princess Cruises,Caribbean Princess,4/5/2009,100
"Carnival Cruise Lines, Inc.",Carnival Fantasy,4/27/2009,95
"Carnival Cruise Lines, Inc.",Carnival Freedom,4/25/2009,100
"Carnival Cruise Lines, Inc.",Carnival Inspiration,4/20/2009,96
"Carnival Cruise Lines, Inc.",Carnival Sunshine,4/20/2009,97
"Carnival Cruise Lines, Inc.",Carnival Triumph,4/19/2009,88
Celebrity Cruises,Celebrity Century,4/20/2009,96
Celebrity Cruises,Celebrity Millennium,4/27/2009,95
Celebrity Cruises,Celebrity Solstice,4/12/2009,100
Celebrity Cruises,Celebrity Summit,4/4/2009,98
Club Med Marine,Club Med 2,4/2/2009,82
Princess Cruises,Crown Princess,4/26/2009,99
Disney Cruise Lines,Disney Wonder,4/19/2009,99
Princess Cruises,Emerald Princess,4/9/2009,96
Holland America Line,Eurodam,4/7/2009,100
Royal Caribbean International,Explorer Of The Seas,4/8/2009,99
Princess Cruises,Grand Princess,4/6/2009,98
Royal Caribbean International,Grandeur Of The Seas,4/18/2009,97
Princess Cruises,Island Princess,4/23/2009,95
Royal Caribbean International,Majesty Of The Seas,4/24/2009,98
Royal Caribbean International,Navigator Of The Seas,4/11/2009,96
Norwegian Cruise Lines,Norwegian Sun,4/30/2009,100
Holland America Line,Prinsendam,4/30/2009,95
Cunard Line,Queen Mary 2,4/14/2009,100
Royal Caribbean International,Rhapsody Of The Seas,4/28/2009,99
Princess Cruises,Ruby Princess,4/11/2009,100
Lindblad Expeditions,Sea Bird,4/28/2009,100
Seabourn Cruise Line,Seabourn Legend,4/3/2009,97
Sea Dream Yacht Club,Seadream I,4/3/2009,97
Sea Dream Yacht Club,Seadream II,4/5/2009,96
Silversea Cruises Ltd,Silver Cloud,4/4/2009,95
"Celebration Cruise Line, Ltd",Bahamas Celebration,5/20/2009,92
"Carnival Cruise Lines, Inc.",Carnival Elation,5/3/2009,99
Princess Cruises,Coral Princess,5/21/2009,97
"Crystal Cruises , Inc.",Crystal Serenity,5/23/2009,99
Princess Cruises,Dawn Princess,5/5/2009,99
Princess Cruises,Diamond Princess,5/20/2009,100
Royal Caribbean International,Enchantment Of The Seas,5/2/2009,97
Holland America Line,Maasdam,5/30/2009,97
MSC Cruises (Mediterranean Shipping Company),MSC Orchestra,5/5/2009,96
Norwegian Cruise Lines,Norwegian Pearl,5/7/2009,100
Norwegian Cruise Lines,Norwegian Spirit,5/29/2009,96
Royal Caribbean International,Radiance Of The Seas,5/19/2009,99
Holland America Line,Rotterdam,5/16/2009,98
Lindblad Expeditions,Sea Lion,5/17/2009,91
Royal Caribbean International,Serenade Of The Seas,5/5/2009,97
Holland America Line,Statendam,5/6/2009,89
Holland America Line,Volendam,5/22/2009,95
VSP Office Cruise Line,Vspbeta,5/15/2009,100
Holland America Line,Westerdam,5/24/2009,100
Holland America Line,Amsterdam,6/24/2009,100
"Carnival Cruise Lines, Inc.",Carnival Fascination,6/4/2009,96
"Carnival Cruise Lines, Inc.",Carnival Glory,6/6/2009,99
"Carnival Cruise Lines, Inc.",Carnival Miracle,6/25/2009,100
"Carnival Cruise Lines, Inc.",Carnival Splendor,6/14/2009,100
Princess Cruises,Golden Princess,6/27/2009,97
Royal Caribbean International,Monarch Of The Seas,6/5/2009,96
Princess Cruises,Sea Princess,6/13/2009,97
ResidenSea,The World,6/23/2009,100
Japan Grace,TSS Oceanic,6/26/2009,73
VSP Office Cruise Line,Vspbeta,6/13/2009,100
Holland America Line,Zuiderdam,6/25/2009,98
"NYK Cruises Co., LTD",Asuka II,7/7/2009,99
"Carnival Cruise Lines, Inc.",Carnival Conquest,7/19/2009,99
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,7/11/2009,98
"Carnival Cruise Lines, Inc.",Carnival Pride,7/6/2009,99
"Carnival Cruise Lines, Inc.",Carnival Sensation,7/5/2009,95
Royal Caribbean International,Freedom Of The Seas,7/26/2009,99
Hapag Lloyd Kreuzfahrten Gmbh,Hanseatic,7/20/2009,95
Royal Caribbean International,Liberty of the Seas,7/25/2009,94
Holland America Line,Ryndam,7/21/2009,99
Regent Seven Seas,Seven Seas Mariner,7/18/2009,96
Silversea Cruises Ltd,Silver Shadow,7/8/2009,93
Princess Cruises,Star Princess,7/22/2009,100
Royal Caribbean International,Adventure Of The Seas,8/2/2009,98
"Carnival Cruise Lines, Inc.",Carnival Spirit,8/23/2009,97
"Carnival Cruise Lines, Inc.",Carnival Victory,8/3/2009,99
Princess Cruises,Dawn Princess,8/15/2009,99
Disney Cruise Lines,Disney Magic,8/5/2009,98
Royal Caribbean International,Mariner Of The Seas,8/9/2009,97
V. Ships Leisure U.S.A.,MV Explorer,8/22/2009,99
Norwegian Cruise Lines,Norwegian Sky,8/10/2009,97
Princess Cruises,Pacific Princess,8/24/2009,98
Cunard Line,Queen Mary 2,8/23/2009,98
Princess Cruises,Sapphire Princess,8/25/2009,99
Holland America Line,Veendam,8/26/2009,93
Aida Cruises,AIDAaura,9/22/2009,100
P&O Cruises,Aurora,9/10/2009,100
"Celebration Cruise Line, Ltd",Bahamas Celebration,9/14/2009,90
"Carnival Cruise Lines, Inc.",Carnival Paradise,9/25/2009,99
Celebrity Cruises,Celebrity Constellation,9/20/2009,90
Celebrity Cruises,Celebrity Infinity,9/4/2009,98
Celebrity Cruises,Celebrity Millennium,9/15/2009,96
Costa Crociere S.P.A.,Costa Atlantica,9/26/2009,100
Princess Cruises,Diamond Princess,9/15/2009,100
Norwegian Cruise Lines,Norwegian Dawn,9/11/2009,94
Norwegian Cruise Lines,Norwegian Jewel,9/30/2009,100
Norwegian Cruise Lines,Norwegian Star,9/26/2009,99
Cunard Line,Queen Victoria,9/28/2009,100
Royal Caribbean International,Rhapsody Of The Seas,9/6/2009,98
"Saga Shipping Company, Ltd",SagaRuby,9/28/2009,90
Lindblad Expeditions,Sea Lion,9/10/2009,92
Princess Cruises,Sea Princess,9/15/2009,88
Holland America Line,Statendam,9/10/2009,93
Holland America Line,Volendam,9/11/2009,95
Holland America Line,Zaandam,9/8/2009,95
Fred Olsen Cruise Line,Balmoral,10/19/2009,92
"Carnival Cruise Lines, Inc.",Carnival Imagination,10/19/2009,96
"Carnival Cruise Lines, Inc.",Carnival Legend,10/18/2009,98
"Carnival Cruise Lines, Inc.",Carnival Liberty,10/3/2009,97
"Carnival Cruise Lines, Inc.",Carnival Valor,10/1/2009,96
Princess Cruises,Crown Princess,10/16/2009,100
"Crystal Cruises , Inc.",Crystal Symphony,10/21/2009,100
Royal Caribbean International,Explorer Of The Seas,10/24/2009,99
Blount Small Ship Adventures,Grande Mariner,10/5/2009,92
Princess Cruises,Island Princess,10/1/2009,99
Royal Caribbean International,Jewel Of The Seas,10/22/2009,100
Royal Caribbean International,Majesty Of The Seas,10/2/2009,94
Norwegian Cruise Lines,Norwegian Spirit,10/23/2009,99
Norwegian Cruise Lines,Norwegian Sun,10/23/2009,98
Princess Cruises,Ruby Princess,10/25/2009,98
Sea Dream Yacht Club,Seadream II,10/25/2009,96
Silversea Cruises Ltd,Silver Cloud,10/25/2009,96
Holland America Line,Westerdam,10/18/2009,100
"Carnival Cruise Lines, Inc.",Carnival Fantasy,11/16/2009,89
"Carnival Cruise Lines, Inc.",Carnival Freedom,11/1/2009,100
"Carnival Cruise Lines, Inc.",Carnival Inspiration,11/21/2009,96
"Carnival Cruise Lines, Inc.",Carnival Sunshine,11/12/2009,95
Celebrity Cruises,Celebrity Equinox,11/23/2009,100
Peter Deilmann Cruises,Deutschland,11/24/2009,84
Disney Cruise Lines,Disney Wonder,11/22/2009,98
Princess Cruises,Emerald Princess,11/5/2009,100
Royal Caribbean International,Enchantment Of The Seas,11/5/2009,95
Holland America Line,Eurodam,11/14/2009,100
Royal Caribbean International,Grandeur Of The Seas,11/8/2009,97
Holland America Line,Maasdam,11/6/2009,97
MSC Cruises (Mediterranean Shipping Company),MSC Poesia,11/7/2009,96
Royal Caribbean International,Navigator Of The Seas,11/30/2009,99
Holland America Line,Oosterdam,11/21/2009,97
Oceania Cruises,Regatta,11/28/2009,99
Seabourn Cruise Line,Seabourn Legend,11/23/2009,95
Seabourn Cruise Line,Seabourn Spirit,11/27/2009,94
Sea Dream Yacht Club,Seadream I,11/7/2009,96
Princess Cruises,Star Princess,11/22/2009,98
P&O Cruises,Ventura,11/4/2009,100
"Carnival Cruise Lines, Inc.",Carnival Elation,12/22/2009,99
"Carnival Cruise Lines, Inc.",Carnival Fascination,12/3/2009,99
Celebrity Cruises,Celebrity Century,12/17/2009,98
Celebrity Cruises,Celebrity Constellation,12/31/2009,94
Celebrity Cruises,Celebrity Solstice,12/29/2009,100
Celebrity Cruises,Celebrity Summit,12/20/2009,98
Club Med Marine,Club Med 2,12/22/2009,92
Princess Cruises,Coral Princess,12/22/2009,98
Costa Crociere S.P.A.,Costa Fortuna,12/30/2009,99
"Crystal Cruises , Inc.",Crystal Serenity,12/21/2009,99
Peter Deilmann Cruises,Deutschland,12/17/2009,95
Princess Cruises,Grand Princess,12/21/2009,94
Royal Caribbean International,Independence of the Seas,12/12/2009,99
Royal Caribbean International,Monarch Of The Seas,12/4/2009,96
Holland America Line,Noordam,12/11/2009,97
Norwegian Cruise Lines,Norwegian Pearl,12/5/2009,100
P&O Cruises,Oceana,12/18/2009,96
Royal Caribbean International,Radiance Of The Seas,12/21/2009,99
Royal Caribbean International,Serenade Of The Seas,12/19/2009,99
Regent Seven Seas,Seven Seas Navigator,12/28/2009,99
Regent Seven Seas,Seven Seas Voyager,12/21/2009,91
Royal Caribbean International,Voyager Of The Seas,12/20/2009,98
Holland America Line,Zuiderdam,12/13/2009,95
Royal Caribbean International,Adventure Of The Seas,1/24/2010,98
Holland America Line,Amsterdam,1/6/2010,99
Azamara Cruises,Azamara Journey,1/3/2010,98
"Carnival Cruise Lines, Inc.",Carnival Conquest,1/17/2010,99
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,1/21/2010,98
"Carnival Cruise Lines, Inc.",Carnival Glory,1/3/2010,99
"Carnival Cruise Lines, Inc.",Carnival Miracle,1/7/2010,93
"Carnival Cruise Lines, Inc.",Carnival Spirit,1/30/2010,95
Costa Crociere S.P.A.,Costa Atlantica,1/9/2010,96
Princess Cruises,Golden Princess,1/31/2010,99
Royal Caribbean International,Liberty of the Seas,1/24/2010,98
V. Ships Leisure U.S.A.,MV Explorer,1/27/2010,97
Norwegian Cruise Lines,Norwegian Gem,1/3/2010,99
Royal Caribbean International,Oasis Of The Seas,1/23/2010,97
Princess Cruises,Pacific Princess,1/27/2010,95
Holland America Line,Prinsendam,1/13/2010,97
Cunard Line,Queen Mary 2,1/4/2010,97
Cunard Line,Queen Victoria,1/15/2010,100
Holland America Line,Rotterdam,1/4/2010,92
Holland America Line,Ryndam,1/17/2010,91
Seabourn Cruise Line,Seabourn Odyssey,1/28/2010,99
Regent Seven Seas,Seven Seas Mariner,1/4/2010,100
Silversea Cruises Ltd,Silver Shadow,1/22/2010,99
Silversea Cruises Ltd,Silver Spirit,1/21/2010,96
Phoenix Reissen Cruise Line,Albatross,2/8/2010,69
P&O Cruises,Arcadia,2/10/2010,95
"Celebration Cruise Line, Ltd",Bahamas Celebration,2/24/2010,88
Fred Olsen Cruise Line,Balmoral,2/4/2010,90
"Carnival Cruise Lines, Inc.",Carnival Dream,2/20/2010,100
"Carnival Cruise Lines, Inc.",Carnival Pride,2/10/2010,99
"Carnival Cruise Lines, Inc.",Carnival Sensation,2/11/2010,97
"Carnival Cruise Lines, Inc.",Carnival Splendor,2/7/2010,100
Celebrity Cruises,Celebrity Millennium,2/2/2010,95
"Crystal Cruises , Inc.",Crystal Symphony,2/14/2010,99
Disney Cruise Lines,Disney Magic,2/17/2010,99
Royal Caribbean International,Freedom Of The Seas,2/21/2010,97
Norwegian Cruise Lines,Norwegian Sky,2/26/2010,96
Princess Cruises,Sapphire Princess,2/6/2010,100
Princess Cruises,Sea Princess,2/16/2010,98
Holland America Line,Zaandam,2/5/2010,99
"Carnival Cruise Lines, Inc.",Carnival Paradise,3/5/2010,100
"Carnival Cruise Lines, Inc.",Carnival Valor,3/14/2010,99
"Carnival Cruise Lines, Inc.",Carnival Victory,3/22/2010,100
Celebrity Cruises,Celebrity Equinox,3/19/2010,100
Celebrity Cruises,Celebrity Infinity,3/28/2010,99
Club Med Marine,Club Med 2,3/29/2010,96
Costa Crociere S.P.A.,Costa Fortuna,3/24/2010,93
Princess Cruises,Crown Princess,3/27/2010,97
Holland America Line,Eurodam,3/30/2010,98
Princess Cruises,Island Princess,3/10/2010,98
Royal Caribbean International,Mariner Of The Seas,3/7/2010,100
MSC Cruises (Mediterranean Shipping Company),MSC Poesia,3/20/2010,100
Royal Caribbean International,Navigator Of The Seas,3/18/2010,96
Norwegian Cruise Lines,Norwegian Jewel,3/21/2010,100
Norwegian Cruise Lines,Norwegian Star,3/6/2010,99
P&O Cruises,Oriana,3/3/2010,97
Oceania Cruises,Regatta,3/9/2010,100
Princess Cruises,Ruby Princess,3/23/2010,99
Seabourn Cruise Line,Seabourn Legend,3/25/2010,96
Seabourn Cruise Line,Seabourn Spirit,3/19/2010,99
Sea Dream Yacht Club,Seadream I,3/28/2010,98
Sea Dream Yacht Club,Seadream II,3/21/2010,98
Silversea Cruises Ltd,Silver Cloud,3/1/2010,98
Holland America Line,Statendam,3/8/2010,96
Holland America Line,Westerdam,3/7/2010,99
Azamara Cruises,Azamara Journey,4/1/2010,98
"Carnival Cruise Lines, Inc.",Carnival Fantasy,4/15/2010,95
"Carnival Cruise Lines, Inc.",Carnival Imagination,4/2/2010,90
"Carnival Cruise Lines, Inc.",Carnival Legend,4/18/2010,96
"Carnival Cruise Lines, Inc.",Carnival Sunshine,4/1/2010,97
Celebrity Cruises,Celebrity Constellation,4/11/2010,98
Princess Cruises,Emerald Princess,4/4/2010,100
Princess Cruises,Grand Princess,4/9/2010,98
Royal Caribbean International,Independence of the Seas,4/3/2010,95
Norwegian Cruise Lines,Norwegian Dawn,4/4/2010,100
Norwegian Cruise Lines,Norwegian Spirit,4/4/2010,99
Norwegian Cruise Lines,Norwegian Sun,4/26/2010,100
Lindblad Expeditions,Sea Lion,4/27/2010,96
Silversea Cruises Ltd,Silver Spirit,4/19/2010,98
Princess Cruises,Star Princess,4/5/2010,98
Royal Caribbean International,Voyager Of The Seas,4/11/2010,98
Royal Caribbean International,Adventure Of The Seas,5/2/2010,98
Princess Cruises,Caribbean Princess,5/3/2010,100
"Carnival Cruise Lines, Inc.",Carnival Freedom,5/22/2010,100
"Carnival Cruise Lines, Inc.",Carnival Inspiration,5/17/2010,99
"Carnival Cruise Lines, Inc.",Carnival Liberty,5/4/2010,98
"Carnival Cruise Lines, Inc.",Carnival Spirit,5/22/2010,97
"Carnival Cruise Lines, Inc.",Carnival Triumph,5/14/2010,92
Celebrity Cruises,Celebrity Century,5/10/2010,96
Costa Crociere S.P.A.,Costa Atlantica,5/9/2010,99
Princess Cruises,Diamond Princess,5/25/2010,100
Disney Cruise Lines,Disney Wonder,5/16/2010,95
Royal Caribbean International,Explorer Of The Seas,5/13/2010,99
Royal Caribbean International,Grandeur Of The Seas,5/17/2010,98
Hapag Lloyd Kreuzfahrten Gmbh,Hanseatic,5/15/2010,92
Royal Caribbean International,Jewel Of The Seas,5/14/2010,100
Royal Caribbean International,Majesty Of The Seas,5/28/2010,95
Holland America Line,Noordam,5/5/2010,100
Holland America Line,Prinsendam,5/14/2010,96
Lindblad Expeditions,Sea Bird,5/23/2010,98
Royal Caribbean International,Serenade Of The Seas,5/1/2010,98
Regent Seven Seas,Seven Seas Voyager,5/15/2010,97
Holland America Line,Veendam,5/16/2010,96
Holland America Line,Volendam,5/21/2010,98
"NYK Cruises Co., LTD",Asuka II,6/4/2010,98
"Carnival Cruise Lines, Inc.",Carnival Glory,6/6/2010,98
"Carnival Cruise Lines, Inc.",Carnival Miracle,6/8/2010,99
Celebrity Cruises,Celebrity Summit,6/20/2010,87
Royal Caribbean International,Enchantment Of The Seas,6/18/2010,95
Blount Small Ship Adventures,Grande Mariner,6/22/2010,90
Holland America Line,Maasdam,6/5/2010,95
"Mitsui O.S.K. Passenger Line, Ltd",Nippon Maru,6/12/2010,97
Norwegian Cruise Lines,Norwegian Pearl,6/15/2010,100
Royal Caribbean International,Oasis Of The Seas,6/26/2010,100
Holland America Line,Oosterdam,6/16/2010,100
Royal Caribbean International,Radiance Of The Seas,6/13/2010,100
Royal Caribbean International,Rhapsody Of The Seas,6/11/2010,99
Holland America Line,Rotterdam,6/19/2010,99
Holland America Line,Ryndam,6/17/2010,98
Regent Seven Seas,Seven Seas Navigator,6/12/2010,94
Holland America Line,Zuiderdam,6/14/2010,100
"Carnival Cruise Lines, Inc.",Carnival Dream,7/17/2010,98
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,7/29/2010,98
"Carnival Cruise Lines, Inc.",Carnival Elation,7/31/2010,97
"Carnival Cruise Lines, Inc.",Carnival Fascination,7/19/2010,99
"Carnival Cruise Lines, Inc.",Carnival Paradise,7/2/2010,95
"Carnival Cruise Lines, Inc.",Carnival Sensation,7/18/2010,99
"Carnival Cruise Lines, Inc.",Carnival Splendor,7/4/2010,99
Celebrity Cruises,Celebrity Solstice,7/11/2010,100
Princess Cruises,Coral Princess,7/9/2010,97
Princess Cruises,Dawn Princess,7/25/2010,99
Princess Cruises,Golden Princess,7/17/2010,99
Royal Caribbean International,Monarch Of The Seas,7/16/2010,96
Norwegian Cruise Lines,Norwegian Jewel,7/24/2010,98
Princess Cruises,Ocean Princess,7/13/2010,100
"Japan Cruise Line, Inc",Pacific Venus,7/1/2010,93
Cunard Line,Queen Mary 2,7/19/2010,98
Silversea Cruises Ltd,Silver Discoverer,7/2/2010,87
Holland America Line,Amsterdam,8/20/2010,96
"Celebration Cruise Line, Ltd",Bahamas Celebration,8/10/2010,96
"Carnival Cruise Lines, Inc.",Carnival Conquest,8/29/2010,97
"Carnival Cruise Lines, Inc.",Carnival Pride,8/22/2010,98
Celebrity Cruises,Celebrity Infinity,8/6/2010,99
Royal Caribbean International,Freedom Of The Seas,8/8/2010,99
Royal Caribbean International,Liberty of the Seas,8/15/2010,97
V. Ships Leisure U.S.A.,MV Explorer,8/21/2010,100
Norwegian Cruise Lines,Norwegian Epic,8/18/2010,100
Norwegian Cruise Lines,Norwegian Sky,8/23/2010,99
Princess Cruises,Sapphire Princess,8/3/2010,100
Lindblad Expeditions,Sea Lion,8/21/2010,93
Princess Cruises,Sea Princess,8/4/2010,98
Silversea Cruises Ltd,Silver Shadow,8/18/2010,96
Holland America Line,Statendam,8/19/2010,97
Holland America Line,Zaandam,8/1/2010,99
"Carnival Cruise Lines, Inc.",Carnival Triumph,9/2/2010,93
Celebrity Cruises,Celebrity Millennium,9/12/2010,99
